SRC,MULT,CH1,CH2,VBAT,VPOW,IBAT
0.525, 1.045, 7.997, 7.997, 8.005, 8.006, 1606.500
0.530, 1.055, 7.997, 7.997, 8.005, 8.006, 1606.600
0.535, 1.065, 7.997, 7.997, 8.005, 8.006, 1606.000
0.540, 1.076, 7.997, 7.997, 8.005, 8.006, 1606.000
0.545, 1.085, 7.997, 7.997, 8.005, 8.006, 1606.200
0.550, 1.095, 7.997, 7.997, 8.005, 8.006, 1605.300
0.555, 1.106, 7.997, 7.997, 8.005, 8.006, 1605.100
0.560, 1.116, 7.997, 7.997, 8.005, 8.006, 1604.900
0.565, 1.125, 7.997, 7.997, 8.005, 8.006, 1603.700
0.570, 1.135, 7.997, 7.997, 8.005, 8.006, 1604.200
0.575, 1.145, 7.997, 7.997, 8.005, 8.006, 1603.800
0.580, 1.156, 7.997, 7.997, 8.005, 8.006, 1602.500
0.585, 1.165, 7.997, 7.997, 8.005, 8.006, 1602.900
0.590, 1.175, 7.997, 7.997, 8.005, 8.006, 1603.000
0.595, 1.185, 7.997, 7.997, 8.005, 8.006, 1602.200
0.600, 1.196, 7.997, 7.997, 8.005, 8.006, 1602.000
0.605, 1.206, 7.997, 7.997, 8.005, 8.006, 1601.000
0.610, 1.215, 7.997, 7.997, 8.005, 8.006, 1601.700
0.615, 1.225, 7.997, 7.997, 8.005, 8.006, 1600.100
0.620, 1.235, 7.997, 7.997, 8.005, 8.006, 1600.300
0.625, 1.246, 7.997, 7.997, 8.005, 8.006, 1598.600
0.630, 1.256, 7.997, 7.997, 8.005, 8.006, 1598.100
0.635, 1.265, 7.997, 7.997, 8.005, 8.006, 1595.900
0.640, 1.276, 7.997, 7.997, 8.005, 8.006, 1595.700
0.645, 1.286, 7.997, 7.997, 8.005, 8.006, 1595.600
0.650, 1.296, 7.997, 7.997, 8.005, 8.006, 1594.600
0.655, 1.306, 7.997, 7.997, 8.005, 8.006, 1594.500
0.660, 1.316, 7.997, 7.997, 8.005, 8.006, 1594.200
0.665, 1.326, 7.997, 7.997, 8.005, 8.006, 1594.300
0.670, 1.336, 7.997, 7.997, 8.005, 8.006, 1593.300
0.675, 1.346, 7.997, 7.997, 8.005, 8.006, 1593.100
0.680, 1.356, 7.997, 7.997, 8.005, 8.006, 1593.200
0.685, 1.365, 7.997, 7.997, 8.005, 8.006, 1592.900
0.690, 1.376, 7.997, 7.997, 8.005, 8.006, 1592.200
0.695, 1.386, 7.997, 7.997, 8.005, 8.006, 1591.800
0.700, 1.395, 7.997, 7.997, 8.005, 8.006, 1591.800
0.705, 1.395, 7.997, 7.997, 8.005, 8.006, 1591.800
0.710, 1.416, 7.997, 7.997, 8.005, 8.006, 1590.700
0.715, 1.426, 7.997, 7.997, 8.005, 8.006, 1590.600
0.720, 1.435, 7.997, 7.997, 8.005, 8.006, 1590.300
0.725, 1.446, 7.997, 7.997, 8.005, 8.006, 1590.400
0.730, 1.456, 7.997, 7.997, 8.005, 8.006, 1589.800
0.735, 1.466, 7.997, 7.997, 8.005, 8.006, 1589.000
0.740, 1.476, 7.997, 7.997, 8.005, 8.006, 1589.000
0.745, 1.485, 7.997, 7.997, 8.005, 8.006, 1588.600
0.750, 1.496, 7.997, 7.997, 8.005, 8.006, 1589.100
0.755, 1.506, 7.997, 7.997, 8.005, 8.006, 1588.200
0.760, 1.516, 7.997, 7.997, 8.005, 8.006, 1588.400
0.765, 1.525, 7.997, 7.997, 8.005, 8.006, 1588.100
0.770, 1.535, 7.997, 7.997, 8.005, 8.006, 1587.600
0.775, 1.546, 7.997, 7.997, 8.005, 8.006, 1584.500
0.780, 1.556, 7.997, 7.997, 8.005, 8.006, 1585.700
0.785, 1.566, 7.997, 7.997, 8.005, 8.006, 1584.200
0.790, 1.575, 7.997, 7.997, 8.005, 8.006, 1582.900
0.795, 1.586, 7.997, 7.997, 8.005, 8.006, 1582.100
0.800, 1.596, 7.997, 7.997, 8.005, 8.006, 1581.500
0.805, 1.607, 7.997, 7.997, 8.005, 8.006, 1581.000
0.810, 1.615, 7.997, 7.997, 8.005, 8.006, 1580.900
0.815, 1.626, 7.997, 7.997, 8.005, 8.006, 1580.700
0.820, 1.636, 7.997, 7.997, 8.005, 8.006, 1580.700
0.825, 1.646, 7.997, 7.997, 8.005, 8.006, 1580.300
0.830, 1.657, 7.997, 7.997, 8.005, 8.006, 1579.900
0.835, 1.666, 7.997, 7.997, 8.005, 8.006, 1579.700
0.840, 1.676, 7.997, 7.997, 8.005, 8.006, 1579.100
0.845, 1.686, 7.997, 7.997, 8.005, 8.006, 1578.600
0.850, 1.696, 7.997, 7.997, 8.005, 8.006, 1578.300
0.855, 1.706, 7.997, 7.997, 8.005, 8.006, 1577.800
0.860, 1.716, 7.997, 7.997, 8.005, 8.006, 1577.700
0.865, 1.726, 7.997, 7.997, 8.005, 8.006, 1577.200
0.870, 1.736, 7.997, 7.997, 8.005, 8.006, 1577.700
0.875, 1.746, 7.997, 7.997, 8.005, 8.006, 1576.900
0.880, 1.756, 7.997, 7.997, 8.005, 8.006, 1576.900
0.885, 1.766, 7.997, 7.997, 8.005, 8.006, 1576.600
0.890, 1.776, 7.997, 7.997, 8.005, 8.006, 1575.800
0.895, 1.787, 7.997, 7.997, 8.005, 8.006, 1575.400
0.900, 1.796, 7.997, 7.997, 8.005, 8.006, 1575.700
0.905, 1.807, 7.997, 7.997, 8.005, 8.006, 1574.000
0.910, 1.817, 7.997, 7.997, 8.005, 8.006, 1574.000
0.915, 1.827, 7.997, 7.997, 8.005, 8.006, 1573.400
0.920, 1.836, 7.997, 7.997, 8.005, 8.006, 1572.700
0.925, 1.847, 7.997, 7.997, 8.005, 8.006, 1571.500
0.930, 1.857, 7.997, 7.997, 8.005, 8.006, 1570.400
0.935, 1.867, 7.997, 7.997, 8.005, 8.006, 1570.100
0.940, 1.877, 7.997, 7.997, 8.005, 8.006, 1568.800
0.945, 1.886, 7.997, 7.997, 8.005, 8.006, 1568.900
0.950, 1.897, 7.997, 7.997, 8.005, 8.006, 1568.900
0.955, 1.906, 7.997, 7.997, 8.005, 8.006, 1568.200
0.960, 1.916, 7.997, 7.997, 8.005, 8.006, 1568.200
0.965, 1.925, 7.997, 7.997, 8.005, 8.006, 1568.100
0.970, 1.935, 7.997, 7.997, 8.005, 8.006, 1568.100
0.975, 1.946, 7.997, 7.997, 8.005, 8.006, 1566.400
0.980, 1.956, 7.997, 7.997, 8.005, 8.006, 1566.700
0.985, 1.966, 7.997, 7.997, 8.005, 8.006, 1566.700
0.990, 1.976, 7.997, 7.997, 8.005, 8.006, 1566.300
0.995, 1.986, 7.997, 7.997, 8.005, 8.006, 1565.200
1.000, 1.996, 7.997, 7.997, 8.005, 8.006, 1565.200
1.005, 2.007, 7.997, 7.997, 8.005, 8.006, 1564.700
1.010, 2.015, 7.997, 7.997, 8.005, 8.006, 1564.300
1.015, 2.026, 7.997, 7.997, 8.005, 8.006, 1564.400
1.020, 2.036, 7.997, 7.997, 8.005, 8.006, 1564.000
1.025, 2.046, 7.997, 7.997, 8.005, 8.006, 1563.800
1.030, 2.057, 7.997, 7.997, 8.005, 8.006, 1563.000
1.035, 2.065, 7.997, 7.997, 8.005, 8.006, 1562.800
1.040, 2.076, 7.997, 7.997, 8.005, 8.006, 1562.400
1.045, 2.086, 7.997, 7.997, 8.005, 8.006, 1562.300
1.050, 2.096, 7.997, 7.997, 8.005, 8.006, 1561.800
1.055, 2.106, 7.997, 7.997, 8.005, 8.006, 1559.800
1.060, 2.116, 7.997, 7.997, 8.005, 8.006, 1560.400
1.065, 2.126, 7.997, 7.997, 8.005, 8.006, 1559.300
1.070, 2.136, 7.997, 7.997, 8.005, 8.006, 1558.900
1.075, 2.147, 7.997, 7.997, 8.005, 8.006, 1557.800
1.080, 2.156, 7.997, 7.997, 8.005, 8.006, 1556.900
1.085, 2.166, 7.997, 7.997, 8.005, 8.006, 1557.000
1.090, 2.177, 7.997, 7.997, 8.005, 8.006, 1555.300
1.095, 2.187, 7.997, 7.997, 8.005, 8.006, 1556.100
1.100, 2.196, 7.997, 7.997, 8.005, 8.006, 1555.500
1.105, 2.206, 7.997, 7.997, 8.005, 8.006, 1555.300
1.110, 2.216, 7.997, 7.997, 8.005, 8.006, 1554.300
1.115, 2.227, 7.997, 7.997, 8.005, 8.006, 1554.500
1.120, 2.237, 7.997, 7.997, 8.005, 8.006, 1553.900
1.125, 2.246, 7.997, 7.997, 8.005, 8.006, 1553.500
1.130, 2.257, 7.997, 7.997, 8.005, 8.006, 1553.600
1.135, 2.266, 7.997, 7.997, 8.005, 8.006, 1552.600
1.140, 2.277, 7.997, 7.997, 8.005, 8.006, 1552.800
1.145, 2.286, 7.997, 7.997, 8.005, 8.006, 1551.900
1.150, 2.296, 7.997, 7.997, 8.005, 8.006, 1551.800
1.155, 2.307, 7.997, 7.997, 8.005, 8.006, 1551.500
1.160, 2.317, 7.997, 7.997, 8.005, 8.006, 1550.700
1.165, 2.326, 7.997, 7.997, 8.005, 8.006, 1551.400
1.170, 2.337, 7.997, 7.997, 8.005, 8.006, 1550.400
1.175, 2.347, 7.997, 7.997, 8.005, 8.006, 1549.200
1.180, 2.357, 7.997, 7.997, 8.005, 8.006, 1548.500
1.185, 2.367, 7.997, 7.997, 8.005, 8.006, 1548.700
1.190, 2.377, 7.997, 7.997, 8.005, 8.006, 1547.900
1.195, 2.387, 7.997, 7.997, 8.005, 8.006, 1547.000
1.200, 2.397, 7.997, 7.997, 8.005, 8.006, 1544.100
1.205, 2.408, 7.997, 7.997, 8.005, 8.006, 1546.400
1.210, 2.417, 7.997, 7.997, 8.005, 8.006, 1544.000
1.215, 2.427, 7.997, 7.997, 8.005, 8.006, 1543.400
1.220, 2.437, 7.997, 7.997, 8.005, 8.006, 1543.600
1.225, 2.447, 7.997, 7.997, 8.005, 8.006, 1543.800
1.230, 2.457, 7.997, 7.997, 8.005, 8.006, 1543.000
1.235, 2.467, 7.997, 7.997, 8.005, 8.006, 1542.800
1.240, 2.477, 7.997, 7.997, 8.005, 8.006, 1542.500
1.245, 2.487, 7.997, 7.997, 8.005, 8.006, 1542.300
1.250, 2.497, 7.997, 7.997, 8.005, 8.006, 1541.600
1.255, 2.507, 7.997, 7.997, 8.005, 8.006, 1541.700
1.260, 2.517, 7.997, 7.997, 8.005, 8.006, 1540.900
1.265, 2.527, 7.997, 7.997, 8.005, 8.006, 1541.200
1.270, 2.537, 7.997, 7.997, 8.005, 8.006, 1540.600
1.275, 2.547, 7.997, 7.997, 8.005, 8.006, 1540.200
1.280, 2.557, 7.997, 7.997, 8.005, 8.006, 1540.300
1.285, 2.567, 7.997, 7.997, 8.005, 8.006, 1539.300
1.290, 2.577, 7.997, 7.997, 8.005, 8.006, 1539.200
1.295, 2.587, 7.997, 7.997, 8.005, 8.006, 1539.900
1.300, 2.596, 7.997, 7.997, 8.005, 8.006, 1538.500
1.305, 2.607, 7.997, 7.997, 8.005, 8.006, 1537.900
1.310, 2.617, 7.997, 7.997, 8.005, 8.006, 1537.100
1.315, 2.627, 7.997, 7.997, 8.005, 8.006, 1537.200
1.320, 2.637, 7.997, 7.997, 8.005, 8.006, 1537.500
1.325, 2.647, 7.997, 7.997, 8.005, 8.006, 1536.000
1.330, 2.657, 7.997, 7.997, 8.005, 8.006, 1535.600
1.335, 2.667, 7.997, 7.997, 8.005, 8.006, 1535.400
1.340, 2.677, 7.997, 7.997, 8.005, 8.006, 1534.900
1.345, 2.686, 7.997, 7.997, 8.005, 8.006, 1535.100
1.350, 2.697, 7.997, 7.997, 8.005, 8.006, 1534.200
1.355, 2.708, 7.997, 7.997, 8.005, 8.006, 1532.500
1.360, 2.718, 7.997, 7.997, 8.005, 8.006, 1531.200
1.365, 2.728, 7.997, 7.997, 8.005, 8.006, 1530.800
1.370, 2.737, 7.997, 7.997, 8.005, 8.006, 1530.800
1.375, 2.747, 7.997, 7.997, 8.005, 8.006, 1530.100
1.380, 2.758, 7.997, 7.997, 8.005, 8.006, 1529.900
1.385, 2.768, 7.997, 7.997, 8.005, 8.006, 1529.000
1.390, 2.777, 7.997, 7.997, 8.005, 8.006, 1528.800
1.395, 2.787, 7.997, 7.997, 8.005, 8.006, 1527.900
1.400, 2.797, 7.997, 7.997, 8.005, 8.006, 1528.800
1.405, 2.808, 7.997, 7.997, 8.005, 8.006, 1527.800
1.410, 2.818, 7.997, 7.997, 8.005, 8.006, 1527.700
1.415, 2.827, 7.997, 7.997, 8.005, 8.006, 1527.500
1.420, 2.837, 7.997, 7.997, 8.005, 8.006, 1527.400
1.425, 2.848, 7.997, 7.997, 8.005, 8.006, 1527.000
1.430, 2.859, 7.997, 7.997, 8.005, 8.006, 1526.800
1.435, 2.868, 7.997, 7.997, 8.005, 8.006, 1526.600
1.440, 2.878, 7.997, 7.997, 8.005, 8.006, 1526.300
1.445, 2.888, 7.997, 7.997, 8.005, 8.006, 1525.700
1.450, 2.898, 7.997, 7.997, 8.005, 8.006, 1525.900
1.455, 2.908, 7.997, 7.997, 8.005, 8.006, 1524.400
1.460, 2.918, 7.997, 7.997, 8.005, 8.006, 1524.100
