i_src,i_meas,v_up,v_down,v_current,old_up,old_down,old_current
1.080, 1.074, 2768.300, 2733.000, 1622.300, 13.635, 13.442, -1.126
1.090, 1.084, 2767.800, 2733.300, 1621.400, 13.630, 13.442, -1.131
1.100, 1.094, 2768.500, 2733.600, 1622.000, 13.635, 13.442, -1.126
1.110, 1.104, 2768.500, 2733.400, 1620.300, 13.635, 13.442, -1.156
1.120, 1.114, 2768.700, 2734.100, 1620.000, 13.635, 13.448, -1.156
1.130, 1.124, 2768.900, 2734.200, 1619.500, 13.635, 13.448, -1.201
1.140, 1.134, 2769.100, 2733.700, 1619.300, 13.640, 13.442, -1.201
1.150, 1.144, 2769.300, 2733.300, 1619.200, 13.640, 13.442, -1.201
1.160, 1.154, 2769.000, 2734.300, 1619.100, 13.640, 13.448, -1.201
1.170, 1.164, 2768.500, 2734.200, 1618.500, 13.635, 13.448, -1.224
1.180, 1.174, 2769.500, 2733.400, 1618.300, 13.640, 13.442, -1.224
1.190, 1.184, 2769.300, 2733.800, 1617.700, 13.640, 13.442, -1.271
1.200, 1.194, 2770.200, 2735.200, 1617.700, 13.645, 13.455, -1.271
1.210, 1.204, 2770.100, 2734.800, 1617.300, 13.645, 13.448, -1.271
1.220, 1.214, 2770.300, 2735.000, 1616.900, 13.645, 13.455, -1.294
1.230, 1.224, 2770.000, 2734.800, 1616.900, 13.645, 13.448, -1.294
1.240, 1.235, 2770.800, 2734.000, 1616.300, 13.645, 13.448, -1.294
1.250, 1.244, 2770.500, 2734.900, 1616.400, 13.645, 13.448, -1.294
1.260, 1.255, 2770.300, 2734.600, 1615.600, 13.645, 13.448, -1.315
1.270, 1.264, 2771.900, 2735.100, 1615.500, 13.650, 13.455, -1.315
1.280, 1.274, 2770.600, 2735.200, 1614.900, 13.645, 13.455, -1.352
1.290, 1.285, 2771.000, 2735.300, 1615.200, 13.650, 13.455, -1.315
1.300, 1.294, 2771.900, 2735.600, 1614.100, 13.650, 13.455, -1.352
1.310, 1.304, 2772.300, 2735.900, 1614.300, 13.654, 13.455, -1.352
1.320, 1.314, 2772.100, 2735.800, 1613.000, 13.654, 13.455, -1.365
1.330, 1.324, 2771.800, 2735.100, 1612.900, 13.650, 13.455, -1.383
1.340, 1.334, 2773.100, 2736.900, 1612.300, 13.659, 13.462, -1.383
1.350, 1.344, 2774.100, 2736.800, 1612.000, 13.664, 13.462, -1.383
1.360, 1.354, 2772.700, 2736.400, 1611.100, 13.654, 13.462, -1.390
1.370, 1.364, 2773.200, 2736.800, 1608.800, 13.659, 13.462, -1.420
1.380, 1.374, 2774.700, 2737.600, 1608.600, 13.664, 13.469, -1.420
1.390, 1.384, 2773.300, 2737.500, 1607.600, 13.659, 13.469, -1.446
1.400, 1.394, 2775.700, 2737.600, 1606.700, 13.668, 13.469, -1.491
1.410, 1.404, 2776.700, 2737.900, 1606.800, 13.673, 13.469, -1.491
1.420, 1.414, 2775.300, 2737.400, 1606.700, 13.668, 13.469, -1.491
1.430, 1.424, 2774.900, 2737.300, 1606.200, 13.664, 13.469, -1.491
1.440, 1.435, 2775.500, 2737.800, 1606.000, 13.668, 13.469, -1.491
1.450, 1.444, 2777.800, 2738.100, 1605.900, 13.677, 13.475, -1.511
1.460, 1.455, 2776.600, 2738.400, 1605.700, 13.673, 13.475, -1.511
1.470, 1.465, 2776.500, 2738.800, 1605.000, 13.673, 13.475, -1.511
1.480, 1.474, 2777.500, 2738.500, 1605.200, 13.677, 13.475, -1.511
1.490, 1.485, 2778.400, 2738.800, 1604.800, 13.682, 13.475, -1.541
1.500, 1.494, 2778.600, 2738.800, 1604.300, 13.682, 13.475, -1.541
1.510, 1.505, 2778.300, 2738.900, 1603.800, 13.682, 13.475, -1.581
1.520, 1.515, 2778.100, 2738.800, 1603.600, 13.682, 13.475, -1.581
1.530, 1.525, 2779.400, 2739.200, 1603.400, 13.686, 13.482, -1.581
1.540, 1.535, 2778.100, 2739.200, 1602.800, 13.682, 13.482, -1.609
1.550, 1.544, 2778.400, 2739.500, 1602.600, 13.682, 13.482, -1.609
1.560, 1.555, 2779.900, 2739.700, 1602.600, 13.686, 13.482, -1.609
