SRC,MULT,CH1,CH2,VBAT,VPOW
9.480, 9.473, 9.465, 9.483, 8.005, 1912.900
9.490, 9.485, 9.485, 9.493, 8.005, 1914.900
9.500, 9.493, 9.492, 9.505, 8.005, 1915.900
9.510, 9.506, 9.504, 9.510, 8.005, 1917.300
9.520, 9.515, 9.514, 9.520, 8.005, 1923.400
9.530, 9.523, 9.518, 9.528, 8.005, 1923.600
9.540, 9.535, 9.533, 9.537, 8.005, 1925.700
9.550, 9.542, 9.541, 9.545, 8.005, 1926.100
9.560, 9.556, 9.553, 9.560, 8.005, 1928.900
9.570, 9.564, 9.559, 9.569, 8.005, 1930.100
9.580, 9.575, 9.575, 9.579, 8.005, 1934.600
9.590, 9.585, 9.588, 9.588, 8.005, 1936.600
9.600, 9.593, 9.591, 9.598, 8.005, 1937.500
9.610, 9.606, 9.601, 9.610, 8.005, 1938.900
9.620, 9.615, 9.609, 9.618, 8.005, 1941.000
9.630, 9.626, 9.631, 9.631, 8.005, 1942.000
9.640, 9.634, 9.635, 9.638, 8.005, 1943.300
9.650, 9.648, 9.646, 9.655, 8.005, 1949.400
9.660, 9.656, 9.657, 9.656, 8.005, 1950.100
9.670, 9.664, 9.662, 9.666, 8.005, 1951.500
9.680, 9.675, 9.673, 9.673, 8.005, 1953.000
9.690, 9.684, 9.677, 9.686, 8.005, 1954.900
9.700, 9.697, 9.689, 9.695, 8.005, 1958.300
9.710, 9.705, 9.699, 9.701, 8.005, 1962.800
9.720, 9.714, 9.707, 9.715, 8.005, 1963.000
9.730, 9.725, 9.725, 9.723, 8.005, 1963.900
9.740, 9.734, 9.735, 9.738, 8.005, 1965.300
9.750, 9.747, 9.741, 9.750, 8.005, 1966.900
9.760, 9.755, 9.747, 9.761, 8.005, 1968.000
9.770, 9.766, 9.761, 9.770, 8.005, 1972.800
9.780, 9.774, 9.769, 9.784, 8.005, 1975.000
9.790, 9.783, 9.770, 9.791, 8.005, 1976.100
9.800, 9.797, 9.789, 9.807, 8.005, 1978.600
9.810, 9.804, 9.794, 9.816, 8.005, 1979.800
9.820, 9.816, 9.809, 9.822, 8.005, 1981.000
9.830, 9.824, 9.821, 9.828, 8.005, 1984.500
9.840, 9.837, 9.830, 9.846, 8.005, 1987.600
9.850, 9.846, 9.842, 9.851, 8.005, 1989.600
9.860, 9.854, 9.847, 9.858, 8.005, 1990.600
9.870, 9.865, 9.864, 9.868, 8.005, 1992.000
9.880, 9.873, 9.873, 9.883, 8.005, 1993.100
9.890, 9.886, 9.883, 9.887, 8.005, 1995.500
9.900, 9.895, 9.894, 9.906, 8.005, 2000.500
9.910, 9.906, 9.905, 9.904, 8.005, 2001.300
9.920, 9.915, 9.912, 9.920, 8.005, 2003.000
9.930, 9.923, 9.919, 9.927, 8.005, 2004.000
9.940, 9.936, 9.945, 9.940, 8.005, 2006.400
9.950, 9.945, 9.948, 9.950, 8.005, 2010.000
9.960, 9.956, 9.955, 9.957, 8.005, 2012.900
9.970, 9.964, 9.963, 9.971, 8.005, 2013.600
9.980, 9.972, 9.968, 9.977, 8.005, 2015.100
9.990, 9.986, 9.977, 9.989, 8.005, 2016.900
10.000, 9.995, 9.984, 9.995, 8.005, 2018.100
10.010, 10.005, 9.994, 10.007, 8.005, 2019.800
10.020, 10.014, 10.005, 10.013, 8.005, 2021.500
10.030, 10.027, 10.014, 10.026, 8.005, 2026.600
10.040, 10.035, 10.026, 10.036, 8.005, 2028.700
10.050, 10.044, 10.035, 10.042, 8.005, 2029.100
10.060, 10.055, 10.048, 10.059, 8.005, 2030.300
10.070, 10.064, 10.059, 10.067, 8.005, 2032.500
10.080, 10.077, 10.075, 10.079, 8.005, 2037.200
10.090, 10.085, 10.081, 10.088, 8.005, 2039.400
10.100, 10.097, 10.093, 10.096, 8.005, 2041.200
10.110, 10.104, 10.105, 10.113, 8.005, 2041.700
10.120, 10.115, 10.116, 10.121, 8.005, 2042.300
10.130, 10.128, 10.131, 10.135, 8.005, 2045.400
10.140, 10.136, 10.138, 10.145, 8.005, 2046.000
10.150, 10.148, 10.149, 10.157, 8.005, 2052.000
10.160, 10.156, 10.157, 10.169, 8.005, 2053.000
