VBAT,MULT
2843.6,14.014
2848.8,14.022
2852.4,14.035
2852.5,14.044
2855.4,14.059000000000001
2857.3,14.071
2860.5,14.084
2862.2,14.093
2864.2,14.104
2865.9,14.113
2867.7,14.126
2868.2,14.133
2871.9,14.143
2875.3,14.153
2876.6,14.162
2879.1,14.175
2880.2,14.183
2880.6,14.192
2882.1,14.203
2884.2,14.212
2885.2,14.225
2885.8,14.233
2886.0,14.245
2887.5,14.261
2887.9,14.261
2899.7,14.283
2901.4,14.302
2906.1,14.316
2909.2,14.324
2910.5,14.332
2913.4,14.346
2915.7,14.354
2917.2,14.367
2918.8,14.376
2921.5,14.384
2924.8,14.396
2927.4,14.403
2930.2,14.417
2931.8,14.425
2933.1,14.436
2933.2,14.445
2933.8,14.453
2938.5,14.466
2939.4,14.476
2943.5,14.486
2944.5,14.495
2946.4,14.508
2950.1,14.516
2952.4,14.525
2953.6,14.536
2956.2,14.545
2958.3,14.558
2958.7,14.566
2962.7,14.574
2963.1,14.585
2965.2,14.594
2967.5,14.607
2969.0,14.615
2971.0,14.626
2972.4,14.634
2974.2,14.643
2978.6,14.656
2980.2,14.664
2983.8,14.676
2984.3,14.684
2985.7,14.697
2987.5,14.706
2989.0,14.714
2989.5,14.725
2992.0,14.733
2995.3,14.747
2996.7,14.756
2998.4,14.763
3003.7,14.775
3004.7,14.783
3008.2,14.796
3009.7,14.805
3011.4,14.816
3013.8,14.8285
3016.5,14.846
3017.6,14.855
3020.3,14.865
3021.6,14.875
3024.3,14.888
3027.6,14.896
3029.6,14.905
3032.9,14.916
3034.0,14.925
3035.4,14.938
3037.1,14.946
3037.8,14.958
3038.7,14.958
3043.6,14.974
3045.6,14.987
3047.2,14.995
3049.3,15.008
3050.5,15.016
3054.1,15.024
3057.5,15.038
3058.3,15.045
3061.4,15.065
3063.2,15.078
3065.3,15.087
3066.7,15.095
3070.3,15.107
3072.9,15.114
3073.4,15.128
3074.7,15.136
3079.6,15.147
3081.1,15.156
3081.3,15.156
3085.5,15.177
3087.0,15.185
3087.7,15.196
3088.4,15.205
3090.0,15.213
3091.8,15.226
3091.9,15.235
3092.0,15.246
3095.8,15.255
3100.6,15.269
3105.6,15.276
3107.4,15.285
3110.8,15.296
3112.6,15.305
3115.1,15.322
3117.4,15.338
3119.1,15.346
3122.0,15.354
3124.0,15.368
3124.2,15.375
3127.3,15.387
3129.8,15.395
3132.7,15.403
3136.1,15.416
3137.0,15.424
3138.1,15.436
3139.9,15.444
3140.7,15.457
3142.9,15.466
3145.3,15.473
3146.9,15.485
3149.4,15.493
3151.7,15.506
3155.5,15.515
3156.3,15.526
3161.7,15.543
3164.4,15.556
3165.4,15.576
3168.2,15.584
3171.1,15.598
3171.6,15.598
3174.8,15.614
3176.7,15.625
3177.0,15.625
3182.0,15.647
3184.7,15.655
3185.4,15.664
3188.0,15.674
3192.2,15.683
3192.3,15.697
3192.7,15.704
3194.2,15.716
3195.2,15.724
3196.6,15.733
3201.2,15.746
3201.3,15.754
3204.3,15.766
3207.9,15.773
3210.6,15.787
3213.5,15.796
3214.4,15.804
3217.0,15.816
3217.5,15.823
3220.6,15.837
3222.3,15.845
3223.5,15.853
3225.2,15.865
3225.7,15.873
3229.3,15.886
3232.5,15.895
3236.4,15.906
3236.6,15.915
3239.4,15.922
3241.6,15.937
3242.1,15.945
3243.0,15.956
3245.0,15.965
3247.5,15.978
3249.3,15.986
