src,mult,ch1,ch2,vup,vdown
10.060, 10.051, 7.997, 7.997, 10.071, 8.006
10.070, 10.059, 7.997, 7.997, 10.078, 8.006
10.080, 10.073, 7.997, 7.997, 10.098, 8.006
10.090, 10.081, 7.997, 7.997, 10.104, 8.006
10.100, 10.092, 7.997, 7.997, 10.113, 8.006
10.110, 10.100, 7.997, 7.997, 10.119, 8.006
10.120, 10.111, 7.997, 7.997, 10.132, 8.006
10.130, 10.124, 7.997, 7.997, 10.147, 8.006
10.140, 10.132, 7.997, 7.997, 10.155, 8.006
10.150, 10.144, 7.997, 7.997, 10.163, 8.006
10.160, 10.152, 7.997, 7.997, 10.176, 8.006
10.170, 10.160, 7.997, 7.997, 10.186, 8.006
10.180, 10.174, 7.997, 7.997, 10.208, 8.006
10.190, 10.182, 7.997, 7.997, 10.214, 8.006
10.200, 10.193, 7.997, 7.997, 10.219, 8.006
10.210, 10.201, 7.997, 7.997, 10.227, 8.006
10.220, 10.214, 7.997, 7.997, 10.235, 8.006
10.230, 10.223, 7.997, 7.997, 10.245, 8.006
10.240, 10.231, 7.997, 7.997, 10.252, 8.006
10.250, 10.243, 7.997, 7.997, 10.267, 8.006
10.260, 10.251, 7.997, 7.997, 10.273, 8.006
10.270, 10.264, 7.997, 7.997, 10.286, 8.006
10.280, 10.273, 7.997, 7.997, 10.296, 8.006
10.290, 10.284, 7.997, 7.997, 10.304, 8.006
10.300, 10.292, 7.997, 7.997, 10.318, 8.006
10.310, 10.300, 7.997, 7.997, 10.324, 8.006
10.320, 10.314, 7.997, 7.997, 10.338, 8.006
10.330, 10.322, 7.997, 7.997, 10.349, 8.006
10.340, 10.333, 7.997, 7.997, 10.357, 8.006
10.350, 10.342, 7.997, 7.997, 10.368, 8.006
10.360, 10.350, 7.997, 7.997, 10.374, 8.006
10.370, 10.363, 7.997, 7.997, 10.385, 8.006
10.380, 10.372, 7.997, 7.997, 10.394, 8.006
10.390, 10.382, 7.997, 7.997, 10.410, 8.006
10.400, 10.391, 7.997, 7.997, 10.414, 8.006
10.410, 10.404, 7.997, 7.997, 10.428, 8.006
10.420, 10.412, 7.997, 7.997, 10.437, 8.006
10.430, 10.421, 7.997, 7.997, 10.443, 8.006
10.440, 10.432, 7.997, 7.997, 10.452, 8.006
10.450, 10.432, 7.997, 7.997, 10.457, 8.006
10.460, 10.454, 7.997, 7.997, 10.478, 8.006
10.470, 10.461, 7.997, 7.997, 10.485, 8.006
10.480, 10.473, 7.997, 7.997, 10.500, 8.006
10.490, 10.481, 7.997, 7.997, 10.506, 8.006
10.500, 10.490, 7.997, 7.997, 10.512, 8.006
10.510, 10.504, 7.997, 7.997, 10.528, 8.006
10.520, 10.512, 7.997, 7.997, 10.537, 8.006
10.530, 10.523, 7.997, 7.997, 10.549, 8.006
10.540, 10.531, 7.997, 7.997, 10.558, 8.006
10.550, 10.540, 7.997, 7.997, 10.560, 8.006
10.560, 10.553, 7.997, 7.997, 10.573, 8.006
10.570, 10.561, 7.997, 7.997, 10.586, 8.006
10.580, 10.573, 7.997, 7.997, 10.596, 8.006
10.590, 10.581, 7.997, 7.997, 10.609, 8.006
10.600, 10.594, 7.997, 7.997, 10.622, 8.006
10.610, 10.603, 7.997, 7.997, 10.625, 8.006
10.620, 10.611, 7.997, 7.997, 10.637, 8.006
10.630, 10.622, 7.997, 7.997, 10.648, 8.006
10.640, 10.630, 7.997, 7.997, 10.657, 8.006
10.650, 10.630, 7.997, 7.997, 10.655, 8.006
10.660, 10.653, 7.997, 7.997, 10.673, 8.006
10.670, 10.664, 7.997, 7.997, 10.689, 8.006
10.680, 10.673, 7.997, 7.997, 10.699, 8.006
10.690, 10.680, 7.997, 7.997, 10.705, 8.006
10.700, 10.694, 7.997, 7.997, 10.721, 8.006
10.710, 10.703, 7.997, 7.997, 10.731, 8.006
10.720, 10.713, 7.997, 7.997, 10.741, 8.006
10.730, 10.722, 7.997, 7.997, 10.745, 8.006
10.740, 10.735, 7.997, 7.997, 10.762, 8.006
10.750, 10.743, 7.997, 7.997, 10.771, 8.006
10.760, 10.752, 7.997, 7.997, 10.777, 8.006
10.770, 10.763, 7.997, 7.997, 10.788, 8.006
10.780, 10.772, 7.997, 7.997, 10.799, 8.006
10.790, 10.785, 7.997, 7.997, 10.807, 8.006
10.800, 10.793, 7.997, 7.997, 10.824, 8.006
10.810, 10.802, 7.997, 7.997, 10.831, 8.006
10.820, 10.813, 7.997, 7.997, 10.839, 8.006
10.830, 10.821, 7.997, 7.997, 10.848, 8.006
10.840, 10.835, 7.997, 7.997, 10.861, 8.006
10.850, 10.843, 7.997, 7.997, 10.868, 8.006
10.860, 10.854, 7.997, 7.997, 10.879, 8.006
10.870, 10.854, 7.997, 7.997, 10.883, 8.006
10.880, 10.871, 7.997, 7.997, 10.895, 8.006
10.890, 10.884, 7.997, 7.997, 10.910, 8.006
10.900, 10.892, 7.997, 7.997, 10.923, 8.006
10.910, 10.904, 7.997, 7.997, 10.929, 8.006
10.920, 10.911, 7.997, 7.997, 10.940, 8.006
10.930, 10.924, 7.997, 7.997, 10.952, 8.006
10.940, 10.933, 7.997, 7.997, 10.961, 8.006
10.950, 10.941, 7.997, 7.997, 10.966, 8.006
10.960, 10.953, 7.997, 7.997, 10.980, 8.006
10.970, 10.960, 7.997, 7.997, 10.988, 8.006
10.980, 10.974, 7.997, 7.997, 11.005, 8.006
10.990, 10.983, 7.997, 7.997, 11.011, 8.006
11.000, 10.990, 7.997, 7.997, 11.014, 8.006
11.010, 11.002, 7.997, 7.997, 11.028, 8.006
11.020, 11.010, 7.997, 7.997, 11.037, 8.006
11.030, 11.023, 7.997, 7.997, 11.050, 8.006
11.040, 11.033, 7.997, 7.997, 11.058, 8.006
11.050, 11.044, 7.997, 7.997, 11.065, 8.006
11.060, 11.052, 7.997, 7.997, 11.078, 8.006
11.070, 11.060, 7.997, 7.997, 11.087, 8.006
11.080, 11.074, 7.997, 7.997, 11.099, 8.006
11.090, 11.082, 7.997, 7.997, 11.108, 8.006
