i_src,i_meas,v_up,v_down,v_current
1.830, -1.822, 2804.800, 2767.300, 1592.000
1.840, -1.832, 2805.800, 2768.600, 1591.600
1.850, -1.842, 2805.800, 2769.000, 1591.100
1.860, -1.852, 2806.000, 2768.300, 1589.900
1.870, -1.861, 2807.700, 2769.700, 1590.800
1.880, -1.871, 2806.200, 2770.200, 1590.300
1.890, -1.882, 2806.500, 2770.000, 1589.300
1.900, -1.892, 2808.100, 2770.000, 1589.200
1.910, -1.902, 2808.400, 2770.800, 1589.200
1.920, -1.911, 2808.200, 2770.500, 1588.500
1.930, -1.921, 2808.000, 2771.100, 1588.000
1.940, -1.932, 2808.200, 2770.700, 1587.900
1.950, -1.942, 2810.300, 2772.500, 1586.600
1.960, -1.952, 2810.500, 2772.900, 1586.100
1.970, -1.962, 2810.100, 2773.200, 1585.600
1.980, -1.972, 2810.600, 2772.200, 1585.900
1.990, -1.982, 2811.000, 2774.200, 1584.500
2.000, -1.992, 2811.600, 2773.700, 1582.800
2.010, -2.002, 2812.400, 2773.000, 1581.400
2.020, -2.012, 2812.000, 2775.500, 1582.200
2.030, -2.022, 2811.700, 2774.300, 1581.500
2.040, -2.032, 2813.600, 2775.400, 1580.700
2.050, -2.042, 2814.400, 2776.800, 1580.700
2.060, -2.052, 2814.300, 2775.500, 1580.400
2.070, -2.062, 2814.600, 2778.200, 1580.300
2.080, -2.072, 2813.800, 2777.500, 1580.400
2.090, -2.082, 2815.000, 2778.000, 1579.600
2.100, -2.092, 2815.200, 2777.500, 1579.700
2.110, -2.101, 2814.900, 2778.300, 1578.700
2.120, -2.111, 2815.400, 2778.600, 1578.400
2.130, -2.121, 2816.400, 2779.100, 1578.300
2.140, -2.131, 2815.900, 2779.100, 1578.000
2.150, -2.141, 2817.300, 2780.000, 1577.300
2.160, -2.151, 2818.300, 2780.800, 1577.300
2.170, -2.161, 2818.000, 2780.600, 1576.900
2.180, -2.171, 2817.600, 2781.500, 1577.100
2.190, -2.181, 2819.500, 2781.500, 1576.800
2.200, -2.191, 2818.500, 2782.000, 1576.400
2.210, -2.201, 2817.500, 2782.700, 1575.400
2.220, -2.211, 2818.600, 2782.100, 1575.700
2.230, -2.221, 2818.100, 2781.300, 1574.900
2.240, -2.232, 2819.900, 2783.500, 1573.200
2.250, -2.241, 2818.500, 2783.800, 1572.300
2.260, -2.251, 2820.300, 2783.800, 1572.000
2.270, -2.261, 2819.100, 2783.800, 1571.100
2.280, -2.271, 2819.000, 2782.100, 1571.200
2.290, -2.282, 2820.300, 2784.300, 1570.100
2.300, -2.291, 2819.500, 2783.900, 1569.300
2.310, -2.301, 2820.500, 2784.100, 1570.400
2.320, -2.311, 2821.500, 2783.700, 1568.500
2.330, -2.321, 2821.700, 2784.200, 1568.900
2.340, -2.332, 2821.200, 2784.300, 1567.900
2.350, -2.341, 2822.400, 2785.100, 1568.100
2.360, -2.352, 2822.900, 2784.800, 1567.500
2.370, -2.361, 2822.100, 2783.300, 1566.600
2.380, -2.371, 2822.100, 2784.800, 1566.700
2.390, -2.381, 2822.700, 2785.400, 1566.600
2.400, -2.391, 2823.600, 2785.900, 1565.900
2.410, -2.401, 2823.300, 2785.300, 1565.400
2.420, -2.412, 2823.900, 2786.500, 1565.200
2.430, -2.421, 2824.800, 2786.000, 1565.000
2.440, -2.431, 2822.700, 2785.900, 1564.600
2.450, -2.441, 2822.400, 2785.600, 1564.100
2.460, -2.451, 2824.100, 2785.700, 1563.700
2.470, -2.462, 2825.100, 2786.000, 1563.300
2.480, -2.471, 2825.300, 2786.500, 1563.500
2.490, -2.481, 2825.000, 2786.600, 1562.500
2.500, -2.491, 2825.000, 2788.200, 1562.900
2.510, -2.502, 2825.600, 2787.400, 1562.200
2.520, -2.512, 2825.500, 2787.300, 1562.400
2.530, -2.521, 2826.300, 2787.400, 1559.400
