v_src_ch2,v_meas_ch2,slA_ch1,slA_ch2,slB_ch1,slB_ch2
3.560, 3.551, 3141.900, 2567.900, 3080.200, 2511.400
3.570, 3.560, 3150.400, 2572.100, 3091.200, 2515.400
3.580, 3.571, 3159.600, 2574.600, 3098.800, 2521.000
3.590, 3.580, 3168.700, 2578.200, 3107.700, 2524.000
3.600, 3.593, 3179.500, 2586.300, 3117.400, 2531.900
3.610, 3.601, 3187.600, 2592.100, 3125.600, 2534.600
3.620, 3.610, 3194.400, 2596.200, 3137.900, 2538.700
3.630, 3.621, 3201.000, 2598.900, 3142.200, 2542.200
3.640, 3.629, 3212.200, 2604.400, 3150.900, 2549.300
3.650, 3.644, 3221.500, 2607.900, 3159.200, 2551.000
3.660, 3.651, 3233.500, 2615.700, 3171.300, 2559.100
3.670, 3.660, 3240.700, 2617.400, 3175.500, 2560.500
3.680, 3.671, 3249.400, 2623.100, 3188.300, 2566.000
3.690, 3.680, 3255.300, 2625.200, 3194.300, 2570.200
