i_src,i_meas,v_up,v_down,v_current
2.740, 2.732, 2696.500, 2663.200, 1800.100
2.750, 2.742, 2696.600, 2663.900, 1800.400
2.760, 2.752, 2697.100, 2663.100, 1800.700
2.770, 2.763, 2696.900, 2663.200, 1800.800
2.780, 2.772, 2695.900, 2663.100, 1801.600
2.790, 2.783, 2695.700, 2663.100, 1803.800
2.800, 2.792, 2695.300, 2662.200, 1804.200
2.810, 2.802, 2695.300, 2662.000, 1805.600
2.820, 2.813, 2695.400, 2662.400, 1805.000
2.830, 2.823, 2695.000, 2661.500, 1807.300
2.840, 2.833, 2694.000, 2661.300, 1807.600
2.850, 2.842, 2693.600, 2660.700, 1807.900
2.860, 2.853, 2693.200, 2660.900, 1807.700
2.870, 2.863, 2693.000, 2660.600, 1808.000
2.880, 2.873, 2694.000, 2659.400, 1808.000
2.890, 2.883, 2691.900, 2660.000, 1808.500
2.900, 2.893, 2692.900, 2660.400, 1808.600
2.910, 2.902, 2691.500, 2659.600, 1809.000
2.920, 2.913, 2691.100, 2658.800, 1809.700
2.930, 2.923, 2692.000, 2659.600, 1809.700
2.940, 2.933, 2691.700, 2659.400, 1809.600
2.950, 2.942, 2691.000, 2658.800, 1810.300
2.960, 2.952, 2690.000, 2659.100, 1810.100
2.970, 2.963, 2690.100, 2657.800, 1810.800
2.980, 2.973, 2690.300, 2659.300, 1811.100
2.990, 2.983, 2690.500, 2657.600, 1811.600
