i_src,i_meas,v_up,v_down,v_current,old_up,old_down,old_current
1.020, -1.013, 2730.300, 2698.000, 1721.600, 13.455, 13.287, 0.961
1.030, -1.023, 2730.100, 2698.100, 1722.000, 13.455, 13.287, 0.999
1.040, -1.033, 2730.500, 2697.500, 1722.000, 13.455, 13.283, 0.999
1.050, -1.043, 2730.600, 2697.500, 1722.100, 13.455, 13.283, 0.999
1.060, -1.054, 2730.700, 2695.800, 1722.500, 13.455, 13.274, 0.999
1.070, -1.063, 2730.100, 2696.800, 1722.400, 13.455, 13.278, 0.999
1.080, -1.073, 2730.100, 2695.600, 1722.600, 13.455, 13.274, 0.999
1.090, -1.083, 2730.200, 2696.100, 1723.600, 13.455, 13.278, 1.038
1.100, -1.093, 2729.800, 2694.400, 1724.000, 13.449, 13.270, 1.064
1.110, -1.103, 2730.100, 2694.400, 1724.700, 13.455, 13.270, 1.064
1.120, -1.113, 2729.700, 2694.300, 1724.800, 13.449, 13.270, 1.064
1.130, -1.123, 2729.600, 2694.200, 1726.000, 13.449, 13.270, 1.077
1.140, -1.133, 2729.900, 2693.700, 1727.400, 13.449, 13.265, 1.093
1.150, -1.143, 2729.700, 2694.000, 1729.300, 13.449, 13.270, 1.131
1.160, -1.153, 2729.600, 2693.600, 1729.700, 13.449, 13.265, 1.131
1.170, -1.164, 2728.800, 2692.600, 1729.500, 13.443, 13.261, 1.131
1.180, -1.174, 2727.800, 2692.200, 1730.200, 13.438, 13.261, 1.158
1.190, -1.183, 2727.900, 2693.300, 1730.100, 13.438, 13.265, 1.158
1.200, -1.193, 2727.500, 2691.300, 1731.000, 13.438, 13.257, 1.195
1.210, -1.204, 2727.700, 2692.200, 1730.500, 13.438, 13.261, 1.158
1.220, -1.214, 2728.000, 2690.500, 1731.100, 13.443, 13.252, 1.195
1.230, -1.224, 2727.800, 2692.300, 1731.400, 13.438, 13.261, 1.195
1.240, -1.234, 2726.900, 2691.800, 1731.600, 13.432, 13.257, 1.195
1.250, -1.243, 2726.900, 2689.200, 1732.600, 13.432, 13.248, 1.212
1.260, -1.254, 2726.500, 2690.500, 1733.100, 13.432, 13.252, 1.232
1.270, -1.264, 2727.200, 2689.400, 1733.300, 13.438, 13.248, 1.232
1.280, -1.274, 2726.800, 2689.000, 1733.900, 13.432, 13.248, 1.232
1.290, -1.284, 2725.300, 2690.000, 1734.100, 13.426, 13.252, 1.262
1.300, -1.293, 2726.500, 2689.700, 1734.600, 13.432, 13.248, 1.262
1.310, -1.304, 2726.000, 2687.700, 1734.900, 13.432, 13.239, 1.262
1.320, -1.313, 2726.700, 2688.100, 1734.600, 13.432, 13.244, 1.262
1.330, -1.323, 2725.400, 2687.600, 1735.200, 13.426, 13.239, 1.302
1.340, -1.334, 2725.800, 2687.100, 1735.100, 13.426, 13.239, 1.302
1.350, -1.343, 2724.000, 2687.600, 1735.700, 13.420, 13.239, 1.302
1.360, -1.354, 2725.800, 2687.600, 1736.500, 13.426, 13.239, 1.331
1.370, -1.363, 2726.500, 2684.900, 1736.200, 13.432, 13.227, 1.331
1.380, -1.373, 2724.000, 2686.500, 1737.200, 13.420, 13.235, 1.355
1.390, -1.384, 2724.200, 2685.900, 1736.400, 13.420, 13.231, 1.331
1.400, -1.393, 2723.100, 2687.800, 1737.000, 13.415, 13.239, 1.355
1.410, -1.404, 2724.200, 2686.700, 1738.700, 13.420, 13.235, 1.368
1.420, -1.413, 2723.000, 2685.500, 1739.800, 13.415, 13.231, 1.382
1.430, -1.423, 2723.300, 2685.700, 1742.800, 13.415, 13.231, 1.421
1.440, -1.434, 2722.100, 2684.700, 1742.700, 13.409, 13.227, 1.421
1.450, -1.444, 2720.700, 2686.200, 1742.500, 13.398, 13.235, 1.421
1.460, -1.454, 2722.400, 2684.900, 1743.000, 13.409, 13.227, 1.431
1.470, -1.464, 2720.700, 2685.600, 1742.600, 13.398, 13.231, 1.421
1.480, -1.474, 2721.700, 2685.200, 1743.100, 13.403, 13.231, 1.431
1.490, -1.484, 2721.600, 2683.300, 1743.800, 13.403, 13.223, 1.431
1.500, -1.494, 2720.700, 2685.100, 1743.400, 13.398, 13.231, 1.431
1.510, -1.504, 2720.000, 2683.800, 1744.100, 13.398, 13.223, 1.463
1.520, -1.514, 2720.900, 2683.300, 1744.700, 13.398, 13.223, 1.463
1.530, -1.524, 2719.500, 2683.800, 1745.900, 13.393, 13.223, 1.502
1.540, -1.534, 2720.300, 2683.400, 1745.500, 13.398, 13.223, 1.502
1.550, -1.544, 2719.100, 2683.500, 1745.700, 13.393, 13.223, 1.502
1.560, -1.554, 2720.500, 2683.500, 1746.500, 13.398, 13.223, 1.521
1.570, -1.563, 2719.300, 2683.600, 1746.200, 13.393, 13.223, 1.521
1.580, -1.573, 2719.100, 2684.400, 1746.900, 13.393, 13.227, 1.521
1.590, -1.584, 2719.000, 2682.100, 1747.200, 13.393, 13.218, 1.542
1.600, -1.593, 2718.700, 2682.900, 1747.600, 13.388, 13.218, 1.542
1.610, -1.604, 2719.100, 2682.700, 1748.300, 13.393, 13.218, 1.574
1.620, -1.613, 2718.200, 2683.500, 1748.300, 13.388, 13.223, 1.574
1.630, -1.623, 2718.200, 2683.300, 1748.500, 13.388, 13.223, 1.574
1.640, -1.634, 2718.000, 2682.400, 1749.700, 13.388, 13.218, 1.604
1.650, -1.643, 2717.400, 2681.600, 1749.300, 13.383, 13.214, 1.604
1.660, -1.654, 2717.400, 2682.300, 1750.500, 13.383, 13.218, 1.622
1.670, -1.663, 2717.700, 2682.400, 1751.500, 13.383, 13.218, 1.629
