SRC,MULT,VBAT,VPOW
10.010, 10.001, 2020.000, 2024.800
10.020, 10.009, 2023.500, 2027.000
10.030, 10.023, 2027.000, 2028.600
10.040, 10.023, 2027.500, 2028.700
10.050, 10.039, 2029.000, 2029.600
10.060, 10.050, 2030.600, 2032.800
10.070, 10.059, 2032.600, 2035.100
10.080, 10.073, 2034.300, 2039.400
10.090, 10.080, 2038.900, 2040.400
10.100, 10.092, 2040.900, 2041.900
10.110, 10.100, 2042.000, 2042.400
10.120, 10.110, 2043.300, 2045.200
10.130, 10.123, 2045.400, 2049.100
10.140, 10.131, 2046.600, 2052.200
10.150, 10.143, 2052.400, 2053.000
10.160, 10.151, 2052.900, 2054.400
10.170, 10.160, 2054.300, 2056.200
10.180, 10.173, 2058.400, 2062.500
10.190, 10.181, 2062.500, 2063.100
10.200, 10.193, 2062.900, 2065.300
10.210, 10.200, 2065.100, 2066.100
10.220, 10.214, 2066.700, 2067.300
10.230, 10.222, 2067.900, 2068.300
10.240, 10.230, 2068.300, 2070.400
10.250, 10.243, 2070.500, 2073.200
10.260, 10.250, 2071.300, 2075.800
10.270, 10.264, 2076.500, 2078.500
10.280, 10.272, 2078.100, 2079.700
10.290, 10.283, 2080.100, 2081.400
10.300, 10.292, 2081.500, 2082.400
10.310, 10.300, 2082.600, 2083.900
10.320, 10.313, 2084.900, 2088.100
10.330, 10.322, 2086.700, 2091.500
10.340, 10.333, 2091.100, 2092.100
10.350, 10.342, 2092.300, 2093.800
10.360, 10.349, 2093.700, 2094.400
10.370, 10.362, 2095.200, 2096.800
10.380, 10.371, 2096.000, 2100.600
10.390, 10.371, 2096.000, 2100.300
10.400, 10.390, 2102.800, 2103.800
10.410, 10.404, 2104.700, 2106.300
10.420, 10.412, 2106.400, 2107.700
10.430, 10.420, 2107.600, 2110.000
10.440, 10.431, 2108.400, 2113.400
10.450, 10.440, 2109.900, 2114.600
10.460, 10.453, 2115.000, 2116.700
10.470, 10.461, 2117.300, 2118.800
10.480, 10.473, 2119.400, 2120.400
10.490, 10.481, 2120.400, 2121.300
10.500, 10.489, 2121.000, 2122.800
10.510, 10.503, 2122.900, 2128.100
10.520, 10.511, 2127.200, 2129.500
10.530, 10.523, 2130.000, 2131.700
10.540, 10.530, 2130.900, 2132.800
10.550, 10.539, 2132.700, 2133.200
10.560, 10.552, 2134.300, 2135.800
10.570, 10.560, 2136.100, 2139.300
10.580, 10.572, 2138.600, 2142.700
10.590, 10.580, 2141.600, 2143.400
10.600, 10.593, 2144.000, 2145.600
10.610, 10.602, 2145.800, 2146.600
10.620, 10.610, 2146.400, 2147.700
10.630, 10.622, 2147.800, 2152.200
10.640, 10.629, 2149.400, 2153.800
10.650, 10.629, 2149.300, 2154.800
10.660, 10.652, 2156.400, 2157.100
10.670, 10.663, 2157.900, 2158.200
10.680, 10.672, 2158.800, 2160.800
10.690, 10.680, 2160.600, 2161.800
10.700, 10.693, 2162.300, 2164.500
10.710, 10.702, 2166.100, 2168.900
10.720, 10.702, 2165.800, 2169.100
10.730, 10.721, 2170.000, 2170.900
10.740, 10.735, 2171.700, 2173.600
10.750, 10.743, 2173.100, 2175.100
10.760, 10.751, 2174.500, 2178.500
10.770, 10.762, 2178.600, 2181.400
10.780, 10.772, 2180.900, 2182.500
10.790, 10.785, 2183.300, 2183.900
10.800, 10.792, 2184.100, 2185.200
10.810, 10.801, 2185.800, 2186.800
