src,mult,ch1,ch2,vup,vdown
9.540, 9.529, 9.474, 9.112, 9.552, 9.222
9.550, 9.536, 9.479, 9.118, 9.555, 9.232
9.560, 9.550, 9.494, 9.133, 9.570, 9.243
9.570, 9.559, 9.499, 9.146, 9.576, 9.258
9.580, 9.569, 9.518, 9.157, 9.589, 9.267
9.590, 9.579, 9.524, 9.165, 9.597, 9.274
9.600, 9.587, 9.531, 9.172, 9.606, 9.282
9.610, 9.600, 9.544, 9.187, 9.617, 9.295
9.620, 9.609, 9.554, 9.192, 9.630, 9.303
9.630, 9.620, 9.564, 9.206, 9.635, 9.317
9.640, 9.628, 9.566, 9.210, 9.648, 9.323
9.650, 9.642, 9.580, 9.224, 9.657, 9.335
9.660, 9.650, 9.589, 9.234, 9.665, 9.346
9.670, 9.658, 9.598, 9.243, 9.678, 9.354
9.680, 9.669, 9.608, 9.250, 9.689, 9.364
9.690, 9.678, 9.620, 9.262, 9.698, 9.373
9.700, 9.691, 9.637, 9.272, 9.711, 9.385
9.710, 9.699, 9.643, 9.281, 9.724, 9.391
9.720, 9.708, 9.657, 9.291, 9.725, 9.406
9.730, 9.708, 9.656, 9.287, 9.727, 9.408
9.740, 9.728, 9.680, 9.311, 9.746, 9.422
9.750, 9.741, 9.696, 9.330, 9.756, 9.435
9.760, 9.749, 9.703, 9.337, 9.767, 9.447
9.770, 9.761, 9.718, 9.349, 9.782, 9.458
9.780, 9.768, 9.725, 9.362, 9.784, 9.461
9.790, 9.778, 9.732, 9.374, 9.799, 9.471
9.800, 9.791, 9.745, 9.387, 9.806, 9.483
9.810, 9.798, 9.750, 9.393, 9.816, 9.492
9.820, 9.811, 9.759, 9.409, 9.827, 9.507
9.830, 9.818, 9.764, 9.417, 9.838, 9.511
9.840, 9.831, 9.778, 9.428, 9.849, 9.523
9.850, 9.840, 9.788, 9.434, 9.858, 9.534
9.860, 9.848, 9.796, 9.445, 9.864, 9.542
9.870, 9.859, 9.807, 9.451, 9.876, 9.552
9.880, 9.867, 9.818, 9.462, 9.889, 9.563
9.890, 9.881, 9.836, 9.476, 9.901, 9.575
9.900, 9.889, 9.843, 9.486, 9.911, 9.589
9.910, 9.900, 9.854, 9.496, 9.920, 9.598
9.920, 9.909, 9.867, 9.505, 9.932, 9.604
9.930, 9.917, 9.871, 9.509, 9.936, 9.613
9.940, 9.930, 9.883, 9.522, 9.947, 9.625
9.950, 9.939, 9.889, 9.529, 9.956, 9.636
9.960, 9.950, 9.898, 9.543, 9.972, 9.649
9.970, 9.958, 9.906, 9.554, 9.977, 9.655
9.980, 9.966, 9.912, 9.561, 9.984, 9.660
9.990, 9.980, 9.923, 9.574, 9.994, 9.677
10.000, 9.989, 9.932, 9.580, 10.009, 9.684
10.010, 10.000, 9.945, 9.590, 10.016, 9.689
10.020, 10.009, 9.955, 9.596, 10.029, 9.704
10.030, 10.022, 9.969, 9.608, 10.036, 9.705
10.040, 10.029, 9.982, 9.621, 10.050, 9.723
10.050, 10.039, 9.997, 9.634, 10.057, 9.734
10.060, 10.049, 10.003, 9.643, 10.067, 9.747
10.070, 10.049, 10.011, 9.645, 10.069, 9.748
10.080, 10.071, 10.030, 9.669, 10.091, 9.767
10.090, 10.079, 10.037, 9.682, 10.102, 9.774
10.100, 10.091, 10.050, 9.696, 10.112, 9.786
10.110, 10.099, 10.055, 9.704, 10.116, 9.793
10.120, 10.109, 10.062, 9.720, 10.130, 9.803
10.130, 10.122, 10.072, 9.732, 10.140, 9.816
10.140, 10.130, 10.082, 9.743, 10.149, 9.827
10.150, 10.142, 10.094, 9.756, 10.162, 9.837
10.160, 10.150, 10.098, 9.766, 10.174, 9.846
10.170, 10.158, 10.109, 9.778, 10.183, 9.852
10.180, 10.172, 10.123, 9.792, 10.205, 9.866
10.190, 10.180, 10.133, 9.803, 10.212, 9.874
10.200, 10.191, 10.141, 9.816, 10.216, 9.889
10.210, 10.199, 10.147, 9.820, 10.225, 9.895
10.220, 10.213, 10.157, 9.835, 10.233, 9.910
10.230, 10.221, 10.167, 9.842, 10.244, 9.915
10.240, 10.229, 10.176, 9.852, 10.248, 9.923
10.250, 10.242, 10.189, 9.866, 10.265, 9.935
10.260, 10.249, 10.200, 9.872, 10.267, 9.943
10.270, 10.262, 10.214, 9.886, 10.283, 9.958
10.280, 10.271, 10.222, 9.899, 10.295, 9.966
10.290, 10.282, 10.236, 9.907, 10.301, 9.980
10.300, 10.291, 10.246, 9.916, 10.312, 9.987
10.310, 10.298, 10.257, 9.920, 10.322, 9.996
10.320, 10.312, 10.270, 9.935, 10.337, 10.007
10.330, 10.321, 10.282, 9.939, 10.341, 10.020
10.340, 10.332, 10.293, 9.953, 10.355, 10.027
10.350, 10.341, 10.304, 9.965, 10.361, 10.034
10.360, 10.348, 10.312, 9.971, 10.372, 10.042
10.370, 10.361, 10.327, 9.988, 10.384, 10.057
10.380, 10.370, 10.337, 9.998, 10.393, 10.065
10.390, 10.381, 10.349, 10.009, 10.401, 10.072
10.400, 10.389, 10.357, 10.018, 10.413, 10.084
10.410, 10.403, 10.371, 10.034, 10.425, 10.096
10.420, 10.410, 10.377, 10.043, 10.433, 10.108
10.430, 10.419, 10.383, 10.049, 10.442, 10.110
10.440, 10.430, 10.393, 10.061, 10.449, 10.124
10.450, 10.439, 10.399, 10.070, 10.459, 10.137
10.460, 10.452, 10.410, 10.084, 10.473, 10.150
10.470, 10.460, 10.416, 10.089, 10.483, 10.154
10.480, 10.472, 10.431, 10.106, 10.492, 10.164
10.490, 10.480, 10.439, 10.115, 10.502, 10.178
10.500, 10.480, 10.442, 10.116, 10.501, 10.179
10.510, 10.480, 10.439, 10.117, 10.502, 10.181
10.520, 10.510, 10.476, 10.147, 10.531, 10.208
10.530, 10.521, 10.490, 10.157, 10.542, 10.217
10.540, 10.529, 10.501, 10.162, 10.551, 10.228
10.550, 10.538, 10.513, 10.172, 10.560, 10.234
10.560, 10.551, 10.531, 10.185, 10.572, 10.244
10.570, 10.559, 10.540, 10.190, 10.586, 10.255
10.580, 10.571, 10.555, 10.208, 10.594, 10.270
10.590, 10.579, 10.563, 10.221, 10.605, 10.277
10.600, 10.592, 10.580, 10.227, 10.616, 10.282
10.610, 10.601, 10.589, 10.232, 10.625, 10.296
10.620, 10.609, 10.601, 10.240, 10.634, 10.301
10.630, 10.620, 10.616, 10.248, 10.641, 10.314
10.640, 10.628, 10.624, 10.254, 10.649, 10.323
10.650, 10.628, 10.622, 10.253, 10.649, 10.322
10.660, 10.651, 10.650, 10.279, 10.672, 10.339
10.670, 10.662, 10.664, 10.288, 10.683, 10.357
10.680, 10.671, 10.678, 10.299, 10.694, 10.361
10.690, 10.678, 10.684, 10.302, 10.699, 10.373
10.700, 10.692, 10.697, 10.316, 10.710, 10.392
10.710, 10.701, 10.708, 10.329, 10.722, 10.401
10.720, 10.712, 10.716, 10.343, 10.738, 10.406
10.730, 10.720, 10.721, 10.352, 10.744, 10.416
10.740, 10.734, 10.731, 10.372, 10.754, 10.424
10.750, 10.741, 10.738, 10.378, 10.768, 10.438
10.760, 10.750, 10.745, 10.387, 10.774, 10.444
10.770, 10.761, 10.758, 10.398, 10.784, 10.457
10.780, 10.770, 10.767, 10.407, 10.794, 10.466
10.790, 10.783, 10.781, 10.420, 10.808, 10.477
10.800, 10.791, 10.789, 10.427, 10.814, 10.487
10.810, 10.800, 10.798, 10.437, 10.828, 10.495
10.820, 10.811, 10.807, 10.446, 10.835, 10.509
10.830, 10.819, 10.816, 10.460, 10.841, 10.520
10.840, 10.833, 10.832, 10.473, 10.858, 10.528
10.850, 10.841, 10.842, 10.477, 10.863, 10.533
10.860, 10.853, 10.849, 10.487, 10.873, 10.555
10.870, 10.860, 10.859, 10.498, 10.885, 10.558
10.880, 10.869, 10.863, 10.506, 10.893, 10.564
10.890, 10.882, 10.875, 10.516, 10.903, 10.576
10.900, 10.890, 10.879, 10.530, 10.914, 10.592
10.910, 10.902, 10.891, 10.537, 10.927, 10.598
10.920, 10.910, 10.902, 10.550, 10.935, 10.604
10.930, 10.923, 10.917, 10.559, 10.950, 10.617
10.940, 10.932, 10.926, 10.565, 10.957, 10.628
10.950, 10.939, 10.934, 10.573, 10.965, 10.637
10.960, 10.951, 10.947, 10.586, 10.977, 10.652
10.970, 10.959, 10.956, 10.596, 10.985, 10.656
10.980, 10.972, 10.976, 10.612, 10.996, 10.667
10.990, 10.981, 10.981, 10.622, 11.006, 10.672
11.000, 10.989, 10.990, 10.633, 11.013, 10.685
11.010, 11.001, 11.001, 10.644, 11.023, 10.697
11.020, 11.008, 11.012, 10.654, 11.030, 10.703
11.030, 11.022, 11.021, 10.665, 11.047, 10.716
11.040, 11.031, 11.028, 10.677, 11.053, 10.725
11.050, 11.042, 11.035, 10.688, 11.062, 10.739
11.060, 11.050, 11.044, 10.696, 11.078, 10.744
11.070, 11.058, 11.054, 10.703, 11.082, 10.754
11.080, 11.072, 11.064, 10.716, 11.094, 10.769
11.090, 11.080, 11.073, 10.722, 11.102, 10.775
11.100, 11.091, 11.088, 10.732, 11.115, 10.788
11.110, 11.100, 11.096, 10.740, 11.122, 10.796
11.120, 11.113, 11.110, 10.754, 11.141, 10.809
